contingency_index,W_k,Pg_0,Pg_1,Pg_2,u_j_0,u_j_1,u_j_2,Z_k_0,Z_k_1,Z_k_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,X_0,X_1,X_2,X_3,X_4,X_5,X_6,B_0,B_1,B_2,B_3,B_4,B_5,B_6,active_0,active_1,active_2,active_3,active_4,active_5,active_6
6,0.0001263223608205791,0.009693595609157226,0.10058799420877661,0.10062902529820734,0.01077481014768419,0.10058799629468604,0.10062902528129411,2.8683438456283196e-08,3.83757063953015e-08,0.2014597851960584,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011146487453776006,0.10000102630756957,0.1000012722951559,1.387883843652723e-06,1.7628618999381333e-06,1.76286362233147e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011145805919505656,0.10000102696794093,0.10000127297075329,1.3310855210004336e-06,1.7005072789932626e-06,1.7005089219046608e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011184774720309931,0.1000010222841014,0.10000126827129535,1.3204560875774323e-06,1.612741436367096e-06,1.6127427675815892e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011804785784073244,0.100000897206916,0.10000109565148163,2.6131734461746586e-07,0.09941162563289162,3.439269073597694e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011805338873717985,0.10000081500646273,0.10000112407939564,2.603441228021114e-07,3.42623683531793e-07,0.15478838266883746,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.0,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011953187440786791,0.10000093056554622,0.10000108983239368,2.720967367527693e-07,0.11998240516270178,3.7199105488053103e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
6,1.8580607816336188e-07,0.010899580784421006,0.10000094207596427,0.10000118807047899,0.011946734344656906,0.10000095426699109,0.10000119113189475,1.5445987219434245e-07,2.1479164966687442e-07,0.19528280906160642,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,0,1
0,0.0,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.0024347998783007165,0.10674950388213149,0.10766285262539056,7.761517672741514e-06,8.276638403266747e-06,8.28482950593074e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,0,1,1,1,1,1,1
1,0.0,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.0024412494470368094,0.10674952477535526,0.1076628724304981,5.960958983216884e-06,6.3372094054234015e-06,6.343421302013328e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,0,1,1,1,1,1
2,0.0,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.0024596471378482724,0.10674950290808986,0.1076628518550765,7.754513054623151e-06,8.231213164269008e-06,8.239654329174218e-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,0,1,1,1,1
3,0.0025140932315100804,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.003647451779326607,0.1067496303290065,0.10766294374527201,3.168166384130049e-07,0.4197554768525522,3.86248061836327e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,0,1,1,1
4,0.002899020069345323,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.0036561241010273646,0.10674963036497671,0.10766294429747261,2.1089662813345587e-09,2.350316035722722e-09,0.4232958356550152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,1,1,0
5,0.002517155850729853,0.0023905779852578645,0.10674963037945166,0.10766294429747256,0.003689457658472903,0.10674962775007783,0.10766295112873973,2.1640436906436272e-07,0.4198480929528025,2.435808177643915e-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1,1,1,1,0,1,1
